"x","y","status","PA1","PA2","PA3","PA4"
847555.9233003,5199805.1328018,1,TRUE,TRUE,TRUE,TRUE
913555.9233003,5100805.1328018,1,TRUE,TRUE,TRUE,TRUE
55555.9233002998,4952305.1328018,1,TRUE,TRUE,TRUE,TRUE
2398555.9233003,4820305.1328018,1,TRUE,TRUE,TRUE,TRUE
3454555.9233003,4589305.1328018,1,TRUE,TRUE,TRUE,TRUE
-92944.0766997002,4556305.1328018,1,TRUE,TRUE,TRUE,TRUE
3520555.9233003,4539805.1328018,1,TRUE,TRUE,TRUE,TRUE
-92944.0766997002,4523305.1328018,1,TRUE,TRUE,TRUE,TRUE
3207055.9233003,4523305.1328018,1,TRUE,TRUE,TRUE,TRUE
3075055.9233003,4457305.1328018,1,TRUE,TRUE,TRUE,TRUE
3157555.9233003,4457305.1328018,1,TRUE,TRUE,TRUE,TRUE
3256555.9233003,4457305.1328018,1,TRUE,TRUE,TRUE,TRUE
880555.9233003,4424305.1328018,1,TRUE,TRUE,TRUE,TRUE
3240055.9233003,4424305.1328018,1,TRUE,TRUE,TRUE,TRUE
946555.9233003,4407805.1328018,1,TRUE,TRUE,TRUE,TRUE
880555.9233003,4358305.1328018,1,TRUE,TRUE,TRUE,TRUE
880555.9233003,4292305.1328018,1,TRUE,TRUE,TRUE,TRUE
946555.9233003,4292305.1328018,1,TRUE,TRUE,TRUE,TRUE
4560055.9233003,4259305.1328018,1,TRUE,TRUE,TRUE,TRUE
715555.9233003,4028305.1328018,1,TRUE,TRUE,TRUE,TRUE
798055.9233003,4011805.1328018,1,TRUE,TRUE,TRUE,TRUE
4725055.9233003,3549805.1328018,1,TRUE,TRUE,TRUE,TRUE
2959555.9233003,2609305.1328018,1,TRUE,TRUE,TRUE,TRUE
4312555.9233003,2609305.1328018,1,TRUE,TRUE,TRUE,TRUE
7051555.9233003,2592805.1328018,1,TRUE,TRUE,TRUE,TRUE
-8342944.0766997,1239805.1328018,1,TRUE,TRUE,TRUE,TRUE
-8210944.0766997,1091305.1328018,1,TRUE,TRUE,TRUE,TRUE
-8243944.0766997,1074805.1328018,1,TRUE,TRUE,TRUE,TRUE
3768055.9233003,35305.132801801,1,TRUE,TRUE,TRUE,TRUE
-9184444.0766997,-47194.867198199,1,TRUE,TRUE,TRUE,TRUE
-4102444.0766997,-459694.867198199,1,TRUE,TRUE,TRUE,TRUE
-4102444.0766997,-476194.867198199,1,TRUE,TRUE,TRUE,TRUE
-4069444.0766997,-509194.867198199,1,TRUE,TRUE,TRUE,TRUE
-3656944.0766997,-1020694.8671982,1,TRUE,TRUE,TRUE,TRUE
-3557944.0766997,-1020694.8671982,1,TRUE,TRUE,TRUE,TRUE
